Epoch,Train_Loss,Vali_Loss,Test_Loss,Learning_Rate,Time
1,0.4563877,0.5591708,0.6207129,0.0000045915,2025-10-13 13:45:43
2,0.3396289,0.4669130,0.4968357,0.0000063514,2025-10-13 13:48:14
3,0.3026967,0.4316995,0.4703742,0.0000092364,2025-10-13 13:50:45
4,0.2875396,0.4134962,0.4566602,0.0000131752,2025-10-13 13:53:18
5,0.2754076,0.4153115,0.4460731,0.0000180710,2025-10-13 13:55:45
6,0.2689459,0.4087087,0.4420882,0.0000238030,2025-10-13 13:58:17
7,0.2645783,0.3932364,0.4407998,0.0000302298,2025-10-13 14:00:52
8,0.2562784,0.4047058,0.4438493,0.0000371933,2025-10-13 14:03:23
9,0.2441550,0.4180271,0.4599345,0.0000445216,2025-10-13 14:05:53
10,0.2174930,0.4048687,0.4643460,0.0000520343,2025-10-13 14:08:28
11,0.1809463,0.4563574,0.4940757,0.0000595461,2025-10-13 14:10:57
12,0.1510030,0.4599740,0.5036087,0.0000668719,2025-10-13 14:13:33
13,0.1391342,0.4641910,0.5081858,0.0000738313,2025-10-13 14:16:00
14,0.1213549,0.4675000,0.5090309,0.0000802525,2025-10-13 14:18:37
15,0.1103750,0.4761015,0.5095683,0.0000859775,2025-10-13 14:21:16
16,0.0996256,0.4740485,0.5094673,0.0000908650,2025-10-13 14:23:50
17,0.0933430,0.4986703,0.5413379,0.0000947947,2025-10-13 14:26:19
18,0.0838858,0.4914132,0.5301061,0.0000976697,2025-10-13 14:28:49
19,0.0761875,0.4624371,0.5045069,0.0000994192,2025-10-13 14:31:28
20,0.0706532,0.4821712,0.5256150,0.0001000000,2025-10-13 14:33:59
21,0.0687304,0.4723131,0.5229600,0.0000999607,2025-10-13 14:36:31
22,0.0620479,0.4924312,0.5282514,0.0000998445,2025-10-13 14:39:04
23,0.0513008,0.4820215,0.5176111,0.0000996513,2025-10-13 14:41:40
24,0.0476420,0.4790013,0.5242668,0.0000993816,2025-10-13 14:44:11
25,0.0421430,0.4901829,0.5276930,0.0000990358,2025-10-13 14:46:42
26,0.0409754,0.4805184,0.5250060,0.0000986143,2025-10-13 14:49:16
27,0.0390416,0.4909630,0.5364785,0.0000981179,2025-10-13 14:51:49
